ID,NOMBREAPELLIDO,CODIGOCIUDAD,FECHAINGRESO,TELEFONO,CORREO,CARRERA
1,EDELKA,1,3/5/2019,2579148,edelka@hotmail.com,Ingeniería de sistemas
2,LUAN,5,10/6/2019,3925183,luan@hotmail.com,Ingenieria química
3,SIOMER,2,3/7/2020,2787650,siomer@hotmail.c,Ingeniería de sistemas
4,ZAHORY,2,12/8/2019,3868566,zahory@hotmail.com,Ingeniería de sistemas
5,HICTADOR,1,3/9/2019,3047140,hictador@hotmail.com,Ingeniería de sistemas
6,ODYULIANA,10,12/10/2018,3123439,odyuliana_hotmail.com,Matemáticas
7,MIRIANGEL,4,8/1/2020,3059570,mariangel@hotmail.com,Ciencia política
8,EDWSAIN,2,3/12/2019,3799145,@hotmail.com,Estadística
9,MAIIRA,1,8/1/2023,3349499,Lina@hotmail.com,Ingeniería de sistemas
10,BELLCE,6,10/29/2020,3232500,bellce@gmail.com,Ciencia política
11,GHINA,6,12/22/2018,2703755,ghina@outlook.com,Ciencia política
12,YOHISER,5,3/11/2021,3836336,yohiser@outlook.co,Geología 
13,DAVINTON,5,5/29/2022,2901593,davinton@hotmail.com,Ingeniería Industrial
14,FACUNDO,7,6/30/2019,3052146,facundo@hotmail.co,Ciencia política
15,EMADELEINE,1,3/11/2022,3129300,emadeleine@gmail.co,Matemáticas
16,MERCE,14,2/2/2019,3816476,merce@gmail.com,Administración de empresas
17,YORMAIN,6,11/4/2020,3671728,yormain@outlook.com,Estadística
18,VIOLANDA,1,11/4/2021,3513234,violanda@outlook.co,Administración de empresas
19,GLELY,2,11/1/2016,3181828,glely@hotmail.com,Ingeniería eléctrica
20,JUANNICOLAS,5,2/6/2021,3022706,juannicolas@hotmail.co,Ciencia política
21,MARYRED,5,6/14/2023,2900094,maryred@gmail.co,Estadística
22,HEIMARD,2,3/10/2022,3670277,heimard@gmail.com,Estadística
23,EDHIDSON,1,3/28/2017,3711225,edhidson@outlook.com,Ingenieria electrónica
24,YANIREL,7,1/25/2018,3873728,yanirel@hotmail.com,Ingenieria química
25,GIANINE,7,8/7/2016,3215580,gianine@hotmail.co,Estadística
26,JONZUI,2,5/20/2016,3119619,jonzui@gmail.co,Ingenieria química
27,THELMO,1,9/22/2017,3004810,thelmo@gmail.com,Ingeniería eléctrica
28,EDWAR,8,5/19/2020,3883713,edwar@outlook.com,Ingeniería de sistemas
29,LONDY,4,10/22/2022,3542752,londy@outlook.co,Ingeniería eléctrica
30,LEHESLY,4,11/20/2020,3745733,lehesly@hotmail.com,Ingeniería de sistemas
31,JADRES,4,2/2/2022,3465457,jadres@hotmail.co,Ciencia política
32,ELIBERTO,10,10/6/2017,3677611,eliberto@gmail.co,Ingenieria química
33,JOLDER,12,1/6/2022,2950444,jolder@gmail.com,Matemáticas
34,INILSE,2,9/2/2018,2936186,inilse@outlook.com,Ingenieria química
35,GRUMENDIS,5,2/19/2019,3394207,grumendis@outlook.co,Geología 
36,YUDREY,5,6/1/2020,3622621,yudrey@hotmail.com,Ingenieria química
37,CELFIRE,8,7/2/2019,2651232,celfire@hotmail.co,Ingeniería Industrial
38,YULIVER,5,12/20/2018,3455155,yuliver@gmail.co,Ingeniería Industrial
39,CASRLOS,14,4/20/2022,3139049,casrlos@gmail.com,Ingenieria química
40,YAIDELIN,12,9/4/2016,3792722,yaidelin@outlook.com,Ingenieria electrónica
41,JENESSE,7,11/12/2020,2651106,jenesse@outlook.co,Ingenieria electrónica
42,BLEYMAN,4,7/11/2022,2852946,bleyman@hotmail.com,Ingeniería eléctrica
43,EULINEO,6,7/14/2021,3102923,eulineo@hotmail.co,Ciencia política
44,GREEDGORY,1,11/4/2021,3738046,greedgory@gmail.co,Ingeniería de sistemas
45,GUSVICT,12,7/24/2023,2623765,gusvict@gmail.com,Matemáticas
46,EPS,15,9/14/2022,3382536,eps@outlook.com,Estadística
47,YEDIR,1,10/26/2017,2635486,yedir@hotmail.com,Administración de empresas
48,RIQUELMA,1,6/1/2018,3776367,riquelma@hotmail.co,Ingeniería de sistemas
49,OIBER,7,8/24/2016,2795929,oiber@gmail.co,Estadística
50,HELLYSOL,8,1/26/2017,3518825,hellysol@gmail.com,Geología 
51,DELDELKER,5,10/8/2016,3815721,deldelker@outlook.com,Ingenieria electrónica
52,DISNERY,12,3/26/2018,_778557,disnery@outlook.co,Geología 
53,ONORO,2,4/11/2020,3278210,onoro@hotmail.com,Ingeniería de sistemas
54,CUJABANTE,2,8/8/2020,2668401,cujabante@hotmail.co,Estadística
55,CIELO,12,1/3/2017,3247075,cielo@gmail.co,Ingenieria electrónica
56,HAIBLEIDY,7,9/8/2020,3092464,haibleidy@gmail.com,Ciencia política
57,AHIDY,15,8/15/2016,3908199,ahidy@outlook.com,Matemáticas
58,ANDRIELYS,2,12/26/2019,3203544,andrielys@outlook.co,Ingeniería eléctrica
59,YESNEYDER,8,3/11/2017,3042052,yesneyder@hotmail.com,Ingeniería Industrial
60,STIVERNEY,2,6/7/2021,3562646,stiverney@hotmail.co,Ingeniería Industrial
61,DEMBER,14,10/24/2021,3741264,dember@gmail.co,Ingeniería Industrial
62,LUVES,1,7/23/2020,3114449,luves@gmail.com,Geología 
63,MARYORISOL,14,7/24/2017,3087164,maryorisol@outlook.com,Ingenieria electrónica
64,CATTELLINY,5,8/4/2016,2901574,cattelliny@outlook.co,Estadística
65,MARGIETH,6,1/18/2022,3781496,margieth@hotmail.com,Geología 
66,YUSNEIVY,15,7/2/2020,3412844,yusneivy@hotmail.co,Ciencia política
67,YOLANDRY,2,9/16/2018,2732326,yolandry@gmail.co,Ingeniería de sistemas
68,LUBERTH,5,6/20/2018,2904201,luberth@gmail.com,Ingeniería eléctrica
69,GUSTAO,4,12/18/2022,3647373,gustao@outlook.com,Ingeniería Industrial
70,ZASKYA,12,6/28/2018,3348632,zaskya@hotmail.com,Matemáticas
71,LUZDENNY,5,1/25/2021,3536673,luzdenny@hotmail.co,Ingeniería Industrial
72,JANYOSER,2,10/29/2021,3132084,janyoser@gmail.co,Ingenieria química
73,MILHER,1,10/6/2019,3740537,milher@gmail.com,Administración de empresas
74,DILLEMAN,2,9/9/2017,3461805,dilleman@outlook.com,Geología 
75,DARINSONTH,5,1/11/2020,3627424,darinsonth@outlook.co,Geología 
76,EDILBELLY,1,1/9/2017,3535318,edilbelly@hotmail.com,Geología 
77,PRENSA,2,9/17/2021,2785767,prensa@hotmail.co,Ingeniería de sistemas
78,DANINY,4,9/28/2018,2588360,daniny@gmail.co,Administración de empresas
79,UVALDO,5,12/30/2019,3815155,uvaldo@gmail.com,Estadística
80,GIL,15,8/1/2018,3052053,gil@outlook.com,Ingenieria electrónica
81,DALAL,15,7/20/2018,3407242,dalal@outlook.co,Ciencia política
82,MARDENIA,14,4/8/2023,3767287,mardenia@hotmail.com,Ingeniería de sistemas
83,RELED,1,12/20/2018,3331076,reled@hotmail.co,Ingeniería de sistemas
84,MADIXON,5,4/11/2021,3441329,madixon@gmail.co,Ingeniería de sistemas
85,CATAMA,5,12/31/2016,3096028,catama@gmail.com,Geología 
86,ONAN,15,9/13/2020,2692823,onan@outlook.com,Ingeniería Industrial
87,SIXLADIZ,6,11/12/2017,2755912,sixladiz@outlook.co,Ingeniería Industrial
88,VILLAMIN,4,4/17/2016,3010430,villamin@hotmail.com,Ingeniería de sistemas
89,DOBANY,1,11/3/2021,3682868,dobany@hotmail.co,Ingeniería Industrial
90,PORRA,6,1/28/2021,3847457,porra@gmail.co,Estadística
91,IRALY,2,10/6/2017,3890877,iraly@gmail.com,Administración de empresas
92,ROSMALIA,2,12/14/2020,3027409,rosmalia@outlook.com,Matemáticas
93,CLARANIMIA,4,5/1/2020,3257628,claranimia@hotmail.com,Geología 
94,MARINUELLA,1,12/25/2020,3544775,marinuella@hotmail.co,Administración de empresas
95,BEIGMAN,14,6/30/2019,3059594,beigman@gmail.co,Matemáticas
96,JETULIO,5,5/10/2022,3425682,jetulio@gmail.com,Matemáticas
97,BELLALINETH,8,7/21/2019,3667189,bellalineth@outlook.com,Geología 
98,RUDBELS,5,11/9/2017,3137739,rudbels@outlook.co,Administración de empresas
99,NARELDYS,2,6/1/2019,3209359,nareldys@hotmail.com,Administración de empresas
100,GRIMALDOS,10,6/15/2016,3136370,grimaldos@hotmail.co,Ingenieria electrónica
101,VALLENILLA,4,5/29/2016,3676754,vallenilla@gmail.co,Ciencia política
102,ARLEVY,2,2/9/2019,3530926,arlevy@gmail.com,Ciencia política
103,DILCELLE,5,8/25/2018,2638596,dilcelle@outlook.com,Estadística
104,JHONIELSON,4,4/20/2020,2614170,jhonielson@outlook.co,Ciencia política
105,HIMERDONEY,10,4/6/2019,3649869,himerdoney@hotmail.com,Matemáticas
106,KERRY,1,10/7/2018,3793690,kerry@hotmail.co,Matemáticas
107,GARCELA,1,4/11/2020,3087878,garcela@gmail.co,Estadística
108,YURLIETH,2,3/14/2017,3289077,yurlieth@gmail.com,Ingenieria química
109,JENKLIM,4,12/27/2019,2833990,jenklim@outlook.com,Ingeniería de sistemas
110,SHEISSON,10,4/18/2022,3596972,sheisson@outlook.co,Ingenieria electrónica
111,ESKITH,2,12/9/2019,3687051,eskith@hotmail.com,Ciencia política
112,REYEMIL,1,11/9/2017,2814743,reyemil@hotmail.co,Ingeniería eléctrica
113,ANYTA,1,8/3/2017,3414788,anyta@gmail.co,Ingeniería de sistemas
114,YAMILEL,1,3/19/2016,2603675,yamilel@gmail.com,Administración de empresas
115,MARIETT,10,5/26/2020,2620176,mariett@outlook.com,Administración de empresas
116,LISYANE,10,6/11/2018,3734755,lisyane@hotmail.com,Ingeniería eléctrica
117,DIOLIMA,1,11/7/2018,3459732,diolima@hotmail.co,Ingeniería eléctrica
118,WINKI,8,7/10/2017,2958982,winki@gmail.co,Administración de empresas
119,TAYDE,8,9/29/2017,3375834,tayde@gmail.com,Ingeniería de sistemas
120,REBOLLO,5,6/8/2016,3411421,rebollo@outlook.com,Ingenieria electrónica
121,DALIMAR,5,3/16/2020,3772847,dalimar@outlook.co,Matemáticas
122,NOREN,8,6/10/2022,3355786,noren@hotmail.com,Matemáticas
123,SITNA,5,5/16/2017,3362683,sitna@hotmail.co,Estadística
124,JORGINA,6,7/2/2017,2971658,jorgina@gmail.co,Ingeniería eléctrica
125,JINZON,6,5/26/2022,3067046,jinzon@gmail.com,Ingeniería Industrial
126,JYSSEL,5,7/17/2022,3802112,jyssel@outlook.com,Ingeniería de sistemas
127,ISBEIDYS,5,6/18/2020,3791778,isbeidys@outlook.co,Ingenieria química
128,CANOLES,12,12/30/2021,3893696,canoles@hotmail.com,Ingeniería Industrial
129,JANEYS,2,12/1/2018,3673390,janeys@hotmail.co,Ingeniería eléctrica
130,EXNEDY,1,6/15/2019,3113757,exnedy@gmail.co,Ingeniería eléctrica
131,LUZDIANY,7,5/25/2020,3373957,luzdiany@gmail.com,Ingeniería eléctrica
132,FREDNA,4,7/26/2018,3424658,fredna@outlook.com,Ingeniería Industrial
133,FERNETH,12,10/12/2020,2912244,ferneth@outlook.co,Ingenieria electrónica
134,YUNEIDA,12,9/5/2021,2954969,yuneida@hotmail.com,Ciencia política
135,YUNIAN,2,7/6/2019,3814094,yunian@hotmail.co,Ingeniería de sistemas
136,WENDA,1,8/12/2017,3251016,wenda@gmail.co,Geología 
137,JISEDTH,1,11/11/2018,3006849,jisedth@gmail.com,Administración de empresas
138,YULEYNI,5,5/20/2017,2671495,yuleyni@outlook.com,Estadística
139,MILESE,5,9/6/2016,2966304,milese@hotmail.com,Matemáticas
140,SUGEIBY,5,8/25/2017,2808305,sugeiby@hotmail.co,Administración de empresas
141,LEAL,1,7/16/2019,3853413,leal@gmail.co,Ingeniería eléctrica
142,MIRONEL,2,6/7/2022,3802018,mironel@gmail.com,Estadística
143,YUDCELY,6,8/15/2017,3264506,yudcely@outlook.com,Ingenieria química
144,HES,7,4/2/2021,3384457,hes@outlook.co,Geología 
145,FRENYALI,7,6/10/2023,3387762,frenyali@hotmail.com,Ciencia política
146,ALFABIS,14,3/15/2017,3776957,alfabis@hotmail.co,Ciencia política
147,JHOSIRY,4,6/3/2020,3895432,jhosiry@gmail.co,Estadística
148,DEURIN,2,12/27/2022,3890913,deurin@gmail.com,Ingenieria electrónica
149,NORLANDIA,1,12/10/2017,3137925,norlandia@outlook.com,Matemáticas
